,sensorID,streetName,sensorCoordinates,sensorType,unitMeasure,cellId
0,5547,Cormano,<shapely.coords.CoordinateSequence object at 0x7f72712f8550>,Biossido di Azoto,µg/m³,9151
0,5647,Milano - Verziere,<shapely.coords.CoordinateSequence object at 0x7f72712f8490>,Biossido di Zolfo,µg/m³,5062
0,5650,Milano - P.zza  Zavattari,<shapely.coords.CoordinateSequence object at 0x7f72712f8750>,Biossido di Zolfo,µg/m³,5644
0,6340,Milano - Parco Lambro,<shapely.coords.CoordinateSequence object at 0x7f72712f84d0>,Ossidi di Azoto,µg/m³,6779
0,5651,Milano - viale Marche,<shapely.coords.CoordinateSequence object at 0x7f72712f8090>,Biossido di Zolfo,µg/m³,6660
0,5506,Milano - P.zza  Zavattari,<shapely.coords.CoordinateSequence object at 0x7f72712f86d0>,Biossido di Azoto,µg/m³,5644
0,5618,Cinisello Balsamo,<shapely.coords.CoordinateSequence object at 0x7f72712f8950>,Biossido di Zolfo,µg/m³,9272
0,5532,Cinisello Balsamo,<shapely.coords.CoordinateSequence object at 0x7f72712f87d0>,Biossido di Azoto,µg/m³,9272
0,20358,Sesto S.Giovanni,<shapely.coords.CoordinateSequence object at 0x7f72712f8850>,Particelle sospese PM2.5,µg/m³,8475
0,6956,Milano - Verziere,<shapely.coords.CoordinateSequence object at 0x7f72712f8910>,PM10 (SM2005),µg/m³,5062
0,5708,Arese,<shapely.coords.CoordinateSequence object at 0x7f72712f8810>,Ozono,µg/m³,8823
0,10283,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f72712f8ad0>,Particelle sospese PM2.5,µg/m³,5775
0,12640,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f72712f8390>,Piombo,ng/m³,5362
0,5711,Corsico,<shapely.coords.CoordinateSequence object at 0x7f72712f8bd0>,Ozono,µg/m³,3729
0,12639,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f72712f8b90>,Cadmio,ng/m³,5362
0,17127,Milano - viale Marche,<shapely.coords.CoordinateSequence object at 0x7f72712f8dd0>,Benzene,µg/m³,6660
0,10280,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f72712f8a90>,Biossido di Zolfo,µg/m³,5775
