,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
51,51,25,128,16,8,0.002,0.03514712676405907,0.18747566640377045
52,52,25,128,32,1,0.002,0.036487143486738205,0.1910160630941391
53,53,25,128,32,2,0.002,0.03519987687468529,0.187616303563118
54,54,25,128,32,4,0.002,0.038804415613412864,0.19698835909366608
55,55,25,128,32,8,0.002,0.03806929662823677,0.1951135545969009
56,56,25,128,64,1,0.002,0.03521130606532097,0.1876467615365982
57,57,25,128,64,2,0.002,0.0371338427066803,0.19270142912864685
58,58,25,128,64,4,0.002,0.03984430432319641,0.1996103972196579
59,59,25,128,64,8,0.002,0.03645385429263115,0.19092892110347748
60,60,25,256,16,1,0.002,0.03107020072638988,0.17626743018627167
61,61,25,256,16,2,0.002,0.03290126100182533,0.1813870370388031
62,62,25,256,16,4,0.002,0.03246043622493744,0.1801677942276001
63,63,25,256,16,8,0.002,0.02558915689587593,0.1599661409854889
64,64,25,256,32,1,0.002,0.03276580199599266,0.18101325631141665
65,65,25,256,32,2,0.002,0.03398294746875763,0.1843446493148804
66,66,25,256,32,4,0.002,0.033749647438526154,0.1837107539176941
67,67,25,256,32,8,0.002,0.03451337292790413,0.18577775359153748
68,68,25,256,64,1,0.002,0.033168502151966095,0.182122215628624
69,69,25,256,64,2,0.002,0.03599892556667328,0.1897338330745697
70,70,25,256,64,4,0.002,0.03464699164032936,0.18613702058792114
71,71,25,256,64,8,0.002,0.036424919962883,0.1908531337976456
72,72,50,64,16,1,0.002,0.03613102063536644,0.1900816112756729
73,73,50,64,16,2,0.002,0.03658533468842506,0.19127292931079865
74,74,50,64,16,4,0.002,0.03763063997030258,0.193986177444458
75,75,50,64,16,8,0.002,0.03855539858341217,0.19635528326034546
76,76,50,64,32,1,0.002,0.036650918424129486,0.1914442926645279
77,77,50,64,32,2,0.002,0.0377180352807045,0.19421133399009705
78,78,50,64,32,4,0.002,0.036374717950820916,0.1907215565443039
79,79,50,64,32,8,0.002,0.03497970849275589,0.18702863156795504
80,80,50,64,64,1,0.002,0.03819828853011131,0.19544383883476255
81,81,50,64,64,2,0.002,0.03621377795934677,0.19029918313026428
82,82,50,64,64,4,0.002,0.0356014147400856,0.18868336081504825
83,83,50,64,64,8,0.002,0.0344802625477314,0.18568861484527588
84,84,50,128,16,1,0.002,0.033440586179494865,0.18286766111850736
85,85,50,128,16,2,0.002,0.03620916977524757,0.19028708338737488
