,epochs,batch,nodos,layer,learning rate,mse,rmse
71,25,256,64,8,0.002,0.0441203452646732,0.082847885787487
72,50,64,16,1,0.002,0.0421358682215213,0.0859710127115249
73,50,64,16,2,0.002,0.0431231223046779,0.0842377766966819
74,50,64,16,4,0.002,0.0426018200814724,0.0835714340209961
75,50,64,16,8,0.002,0.0426783449947834,0.0831541568040847
76,50,64,32,1,0.002,0.0427472069859504,0.0849518999457359
77,50,64,32,2,0.002,0.0420699566602706,0.0850905776023864
78,50,64,32,4,0.002,0.0415855720639228,0.0844322144985199
79,50,64,32,8,0.002,0.0447225794196128,0.0846927314996719
80,50,64,64,1,0.002,0.0422784648835659,0.0845037177205085
81,50,64,64,2,0.002,0.0436737984418869,0.0823046639561653
82,50,64,64,4,0.002,0.0425249114632606,0.0907115638256073
83,50,64,64,8,0.002,0.0453054830431938,0.0923435613512992
84,50,128,16,1,0.002,0.0420694015920162,0.085183061659336
85,50,128,16,2,0.002,0.0419540293514728,0.0845473706722259
86,50,128,16,4,0.002,0.0439473241567611,0.083137460052967
87,50,128,16,8,0.002,0.0438432730734348,0.0835286229848861
88,50,128,32,1,0.002,0.0412049293518066,0.0857800841331482
89,50,128,32,2,0.002,0.0428307019174099,0.084206722676754
90,50,128,32,4,0.002,0.0426053404808044,0.0838475003838539
91,50,128,32,8,0.002,0.0427302718162536,0.0866378843784332
92,50,128,64,1,0.002,0.0430880412459373,0.0846519619226455
93,50,128,64,2,0.002,0.0424601025879383,0.0848826393485069
94,50,128,64,4,0.002,0.0431864187121391,0.085277535021305
95,50,128,64,8,0.002,0.0427056141197681,0.0858705267310142
96,50,256,16,1,0.002,0.042732935398817,0.0866152122616767
97,50,256,16,2,0.002,0.0421051904559135,0.084822341799736
98,50,256,16,4,0.002,0.0420838259160518,0.0830156281590461
99,50,256,16,8,0.002,0.0423717871308326,0.0835130214691162
100,50,256,32,1,0.002,0.0420414842665195,0.0863399878144264
101,50,256,32,2,0.002,0.0440276302397251,0.0825864300131797
102,50,256,32,4,0.002,0.0424090959131717,0.0843528658151626
103,50,256,32,8,0.002,0.0447062589228153,0.0835656076669693
104,50,256,64,1,0.002,0.0414849407970905,0.0866353660821914
105,50,256,64,2,0.002,0.0417905934154987,0.0838009342551231
106,50,256,64,4,0.002,0.0408557578921318,0.0865679159760475
107,50,256,64,8,0.002,0.0453019179403781,0.0840275064110755
108,75,64,16,1,0.002,0.0430229678750038,0.0837368890643119
109,75,64,16,2,0.002,0.042356289923191,0.0837830975651741
110,75,64,16,4,0.002,0.0437106229364872,0.0829236730933189
111,75,64,16,8,0.002,0.0425866469740867,0.0883187130093574
112,75,64,32,1,0.002,0.0428763516247272,0.0839086696505546
113,75,64,32,2,0.002,0.0433885492384433,0.0842509195208549
114,75,64,32,4,0.002,0.0455460324883461,0.088432639837265
115,75,64,32,8,0.002,0.0431608110666275,0.0984939485788345
116,75,64,64,1,0.002,0.0439229570329189,0.0837971344590187
117,75,64,64,2,0.002,0.0449338518083095,0.0878679752349853
