,Unnamed: 0,epochs,batch,nodos,layer,learning rate,mse,rmse
59,59,25,128,64,8,0.002,0.026176609098911285,0.16179189085960388
60,60,25,256,16,1,0.002,0.02632094919681549,0.16223733127117154
61,61,25,256,16,2,0.002,0.02635863795876503,0.16235345602035522
62,62,25,256,16,4,0.002,0.026555072516202927,0.16295726597309113
63,63,25,256,16,8,0.002,0.025890113785862926,0.16090406477451324
64,64,25,256,32,1,0.002,0.02627100422978401,0.16208329796791074
65,65,25,256,32,2,0.002,0.02678810991346836,0.16367074847221375
66,66,25,256,32,4,0.002,0.026469767093658447,0.16269530355930328
67,67,25,256,32,8,0.002,0.026099534705281258,0.1615534871816635
68,68,25,256,64,1,0.002,0.02674725279211998,0.1635458618402481
69,69,25,256,64,2,0.002,0.027646096423268318,0.1662711352109909
70,70,25,256,64,4,0.002,0.027588970959186557,0.16609929502010345
71,71,25,256,64,8,0.002,0.026832761242985725,0.16380706429481506
72,72,50,64,16,1,0.002,0.03213545307517052,0.179263636469841
73,73,50,64,16,2,0.002,0.03279440850019455,0.1810922771692276
74,74,50,64,16,4,0.002,0.033869750797748566,0.18403735756874084
75,75,50,64,16,8,0.002,0.025653364136815068,0.1601666659116745
76,76,50,64,32,1,0.002,0.034735798835754395,0.18637540936470032
77,77,50,64,32,2,0.002,0.03785207867622376,0.1945561170578003
78,78,50,64,32,4,0.002,0.051025930792093284,0.2258892059326172
79,79,50,64,32,8,0.002,0.03712379187345505,0.1926753371953964
80,80,50,64,64,1,0.002,0.044528238475322716,0.21101714670658112
81,81,50,64,64,2,0.002,0.0399087592959404,0.19977177679538727
82,82,50,64,64,4,0.002,0.03498849272727966,0.18705211579799647
83,83,50,64,64,8,0.002,0.030780304223299026,0.17544318735599518
84,84,50,128,16,1,0.002,0.028239484876394275,0.16804608702659607
85,85,50,128,16,2,0.002,0.030886318534612656,0.17574504017829895
86,86,50,128,16,4,0.002,0.029522132128477093,0.17182005941867828
87,87,50,128,16,8,0.002,0.028736980631947517,0.16951985657215118
88,88,50,128,32,1,0.002,0.030728749930858605,0.17529618740081787
89,89,50,128,32,2,0.002,0.03448628261685372,0.1857048273086548
90,90,50,128,32,4,0.002,0.029773332178592682,0.17254948616027832
91,91,50,128,32,8,0.002,0.028247367590665817,0.168069526553154
92,92,50,128,64,1,0.002,0.03322040289640426,0.1822646409273148
93,93,50,128,64,2,0.002,0.035533826798200614,0.1885041743516922
94,94,50,128,64,4,0.002,0.038175687193870544,0.19538599252700808
95,95,50,128,64,8,0.002,0.029400791972875595,0.17146658897399902
96,96,50,256,16,1,0.002,0.02645448595285416,0.16264835000038147
97,97,50,256,16,2,0.002,0.02721311524510384,0.164963960647583
98,98,50,256,16,4,0.002,0.02651123143732548,0.16282270848751068
99,99,50,256,16,8,0.002,0.02580864727497101,0.16065070033073425
100,100,50,256,32,1,0.002,0.02858767844736576,0.16907890141010284
101,101,50,256,32,2,0.002,0.030086016282439232,0.1734532117843628
102,102,50,256,32,4,0.002,0.031733956187963486,0.1781402975320816
103,103,50,256,32,8,0.002,0.02588421851396561,0.16088572144508362
104,104,50,256,64,1,0.002,0.030616519972682003,0.17497578263282776
105,105,50,256,64,2,0.002,0.039375167340040214,0.19843176007270813
106,106,50,256,64,4,0.002,0.03629529476165772,0.1905132532119751
107,107,50,256,64,8,0.002,0.03072987496852875,0.17529937624931335
108,108,75,64,16,1,0.002,0.03190603852272034,0.17862260341644287
109,109,75,64,16,2,0.002,0.035994913429021835,0.18972325325012207
110,110,75,64,16,4,0.002,0.03265303373336792,0.18070149421691892
111,111,75,64,16,8,0.002,0.02574306167662144,0.16044649481773374
112,112,75,64,32,1,0.002,0.0382198803126812,0.1954990178346634
113,113,75,64,32,2,0.002,0.0549374558031559,0.2343874275684357
114,114,75,64,32,4,0.002,0.045355942100286484,0.2129693180322647
115,115,75,64,32,8,0.002,0.02799366228282452,0.16731305420398712
116,116,75,64,64,1,0.002,0.057208184152841575,0.2391823381185532
117,117,75,64,64,2,0.002,0.04049485921859741,0.20123332738876346
118,118,75,64,64,4,0.002,0.04297763109207153,0.20731042325496676
